Date,Value
2018-08-31,0.045806451612903
2018-07-31,0.044487427466151
2018-06-30,0.042498390212492
2018-05-31,0.041237113402062
2018-04-30,0.042663219133807
2018-03-31,0.046163849154746
2018-02-28,0.043762246897453
2018-01-31,0.035271064663618
2017-12-31,0.028086218158067
2017-11-30,0.022845953002611
2017-10-31,0.020248203788374
2017-09-30,0.018991486574984
2017-08-31,0.016393442622951
2017-07-31,0.017716535433071
2017-06-30,0.02238314680711
2017-05-31,0.027814569536424
2017-04-30,0.029274783765802
2017-03-31,0.022606382978723
2017-02-28,0.01660026560425
2017-01-31,0.018629407850965
2016-12-31,0.023395721925134
2016-11-30,0.027498323272971
2016-10-31,0.030976430976431
2016-09-30,0.03385240352065
2016-08-31,0.036005434782609
2016-07-31,0.037440435670524
2016-06-30,0.036860068259386
2016-05-31,0.034246575342466
2016-04-30,0.03228021978022
2016-03-31,0.028024606971975
2016-02-29,0.021016949152542
2016-01-31,0.020366598778004
2015-12-31,0.024657534246575
2015-11-30,0.026152787336545
2015-10-31,0.024844720496894
2015-09-30,0.021438450899032
2015-08-31,0.017980636237898
2015-07-31,0.015905947441217
2015-06-30,0.010344827586207
2015-05-31,-0.0013679890560875
2015-04-30,-0.010197144799456
2015-03-31,0.0
2015-02-28,0.017241379310345
2015-01-31,0.015161957270848
2014-12-31,0.0020590253946465
2014-11-30,0.0020689655172414
2014-10-31,0.0048543689320388
2014-09-30,0.0013850415512465
2014-08-31,0.0020790020790021
2014-07-31,0.0055632823365786
2014-06-30,0.010452961672474
2014-05-31,0.020949720670391
2014-04-30,0.029391182645206
2014-03-31,0.028832630098453
2014-02-28,0.026912181303116
2014-01-31,0.032005689900427
2013-12-31,0.034066713981547
2013-11-30,0.025459688826025
2013-10-31,0.017642907551164
2013-09-30,0.015471167369901
2013-08-31,0.014054813773718
2013-07-31,0.011963406052076
2013-06-30,0.01056338028169
2013-05-31,0.010585744530699
2013-04-30,0.011323425336164
2013-03-31,0.0085106382978723
2013-02-28,0.0014184397163121
2013-01-31,-0.0014204545454546
2012-12-31,0.0014214641080313
2012-11-30,0.0049751243781095
2012-10-31,0.0085409252669039
2012-09-30,0.014265335235378
2012-08-31,0.017155110793424
2012-07-31,0.017908309455587
2012-06-30,0.019382627422828
2012-05-31,0.018691588785047
2012-04-30,0.014357501794688
2012-03-31,0.0071428571428571
2012-02-29,0.0007097232079489
2012-01-31,-0.0077519379844961
2011-12-31,-0.014015416958655
2011-11-30,-0.02223766504517
2011-10-31,-0.031702274293591
2011-09-30,-0.037748798901853
2011-08-31,-0.041780821917808
2011-07-31,-0.046448087431694
2011-06-30,-0.04719562243502
2011-05-31,-0.044642857142857
2011-04-30,-0.042611683848797
2011-03-31,-0.039780521262003
2011-02-28,-0.035592060232717
2011-01-31,-0.028747433264887
2010-12-31,-0.021932830705963
2010-11-30,-0.012354152367879
2010-10-31,-0.0034340659340659
2010-09-30,0.00068681318681319
2010-08-31,0.0034364261168385
2010-07-31,0.0061855670103093
2010-06-30,0.0034317089910776
2010-05-31,-0.0027397260273973
2010-04-30,-0.0061475409836066
2010-03-31,-0.0061349693251534
2010-02-28,-0.0054458815520762
2010-01-31,-0.0061224489795918
2009-12-31,-0.0088315217391304
2009-11-30,-0.010862186014936
2009-10-31,-0.012211668928087
2009-09-30,-0.014218009478673
2009-08-31,-0.016891891891892
2009-07-31,-0.019541778975741
2009-06-30,-0.02280348759222
2009-05-31,-0.026017344896598
2009-04-30,-0.027888446215139
2009-03-31,-0.029119788219722
2009-02-28,-0.029722589167767
2009-01-31,-0.030343007915567
2008-12-31,-0.029663810151615
2008-11-30,-0.029644268774704
2008-10-31,-0.030263157894737
2008-09-30,-0.032110091743119
2008-08-31,-0.035202086049544
2008-07-31,-0.038237200259235
2008-06-30,-0.03930412371134
2008-05-31,-0.038486209108403
2008-04-30,-0.037084398976982
2008-03-31,-0.035121328224777
2008-02-29,-0.034438775510204
2008-01-31,-0.033779477374124
2007-12-31,-0.032525510204082
2007-11-30,-0.030031948881789
2007-10-31,-0.025016035920462
2007-09-30,-0.017385705086929
2007-08-31,-0.0084033613445378
2007-07-31,0.0
2007-06-30,0.0071382219338092
2007-05-31,0.011680726800779
2007-04-30,0.016905071521456
2007-03-31,0.022860875244938
2007-02-28,0.030900723208416
2007-01-31,0.040450928381963
2006-12-31,0.049531459170013
2006-11-30,0.056718433490884
2006-10-31,0.060544217687075
2006-09-30,0.062970568104038
2006-08-31,0.064693737095664
2006-07-31,0.069300069300069
2006-06-30,0.077622377622378
2006-05-31,0.08904593639576
2006-04-30,0.097787294789436
2006-03-31,0.09985632183908
2006-02-28,0.093457943925234
2006-01-31,0.077912794853467
2005-12-31,0.058073654390935
2005-11-30,0.037841625788367
2005-10-31,0.021542738012509
2005-09-30,0.010373443983402
2005-08-31,0.00068870523415978
2005-07-31,-0.0089285714285714
2005-06-30,-0.020547945205479
2005-05-31,-0.033469945355191
2005-04-30,-0.045640326975477
2005-03-31,-0.053704962610469
2005-02-28,-0.055027173913044
2005-01-31,-0.04894629503739
2004-12-31,-0.038147138964578
2004-11-30,-0.024606971975393
2004-10-31,-0.012354152367879
2004-09-30,-0.0013812154696133
2004-08-31,0.0097357440890125
2004-07-31,0.021754385964912
2004-06-30,0.034727143869596
2004-05-31,0.048710601719198
2004-04-30,0.063768115942029
2004-03-31,0.079236977256053
2004-02-29,0.093610698365528
2004-01-31,0.10768072289157
2003-12-31,0.1206106870229
2003-11-30,0.13235294117647
2003-10-31,0.14095536413469
2003-09-30,0.14556962025316
